,price,rooms,area,kitchen_area,Годпостройки,Количествоэтажей,Количествобалконов,Количествоквартир,Количествоподъездов,number_of_owners,number_of_elevators,renovation_Евро,renovation_Косметический,renovation_Отсутствует,deal_type_Свободная продажа,Материалстен_Железобетон,Материалстен_Кирпично-монолитный,Материалстен_Кирпичный,Материалстен_Монолитный,Материалстен_Панельный,Материалстен_Смешанные,Сериядома_1-513,Сериядома_121,Сериядома_121. многоквартирный дом,"Сериядома_14/14, индивидуальный",Сериядома_2.многоквартирный,Сериядома_25,Сериядома_89152-к примогражданпроект,Сериядома_II-01,Сериядома_II-03,Сериядома_II-32,Сериядома_II-66,Сериядома_v-кирпичный,Сериядома_ПП-83,Сериядома_у-0101,Типперекрытий_Железобетонный,Типперекрытий_Монолитный,Типперекрытий_Смешанный,Типфундамента_Иной,Типфундамента_Ленточный,Типфундамента_Сборный,Типфундамента_Свайный,Типфундамента_Сплошной,Горячееводоснабжение_Поквартирный котел,Теплоснабжение_Центральное,energy_efficiency_class_C,energy_efficiency_class_D,energy_efficiency_class_E,ventilation_Приточно-вытяжная
87,15.607270193858982,1.0,30.6,8.0,1963.0,5.0,1.0,219.5,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
116,16.27081682381289,2.0,54.9,8.0,2021.0,24.0,1.0,240.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
99,15.623799493077952,2.0,46.6,6.4,1956.0,3.0,1.0,219.5,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
103,15.201805169084134,2.0,46.8,8.0,1982.0,9.0,1.0,152.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
23,15.796512164761882,3.0,53.4,8.0,1982.0,12.0,1.0,219.5,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2,15.710127563007966,1.0,31.6,5.0,2001.0,3.0,1.0,219.5,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
21,16.454567959008102,4.0,73.5,8.0,1985.0,9.0,1.0,219.5,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
52,16.29204904211537,2.0,46.8,1.0,1983.0,9.0,1.0,415.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,16.118095750958314,3.0,75.4,5.0,2018.0,10.0,1.0,219.5,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
87,15.607270193858982,1.0,30.6,8.0,1963.0,5.0,1.0,219.5,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
