,Unnamed: 0,price,rooms,area,kitchen_area,floor,renovation,deal_type,balcony,trash_chute,Год постройки,Материал стен,Серия дома,Количество этажей,Лифт,Тип перекрытий,Тип фундамента,Горячее водоснабжение,Количество балконов,Количество квартир,Холодное водоснабжение,Теплоснабжение,Водоотведение,Количество подъездов,Жилая,years_in_ownership,number_of_owners,energy_efficiency_class,power_supply,number_of_elevators,ventilation,freight_elevator,gas_supply,latitude,longitude
45,45,4300000,,24.7,2.0,21.0,Отсутствует,,,,2023.0,Монолитный,,24.0,,Железобетонный,,,1.0,436.0,,,,,,,,,,,,,,43.1135561,131.9570591
46,46,12800000,3.0,58.6,9.0,23.0,Евро,Свободная продажа,нет,,2019.0,Монолитный,,,,,,,,,,,,,,,,,,,,,,43.08745,131.856284
47,47,17000000,2.0,64.4,7.0,16.0,Косметический,,,,2007.0,Смешанные,"14/14, индивидуальный",17.0,есть,Железобетонный,Свайный,Закрытая с приготовлением горячей воды на ЦТП,1.0,,Центральное,,,,,,,,,,,,,43.127353,131.887167
48,48,12300000,,,,,,,,,2023.0,Монолитный,,25.0,,Железобетонный,,,,220.0,,,,,,,,,,,,,,43.16781445,131.96586772546414
49,49,8700000,2.0,42.0,12.0,5.0,Дизайнерский,,,,2021.0,Панельный,,10.0,есть,Железобетонный,,Центральное,1.0,,,,,,,,,,,,,,,43.16793685,131.95477406254864
50,50,10781000,3.0,85.1,10.0,8.0,Косметический,,,есть,2011.0,Кирпичный,,24.0,есть,Иное,Иной,Закрытая с приготовлением горячей воды на ЦТП,1.0,,Центральное,,,,,,,,,,,,,43.16516795,131.94830943431475
51,51,18000000,3.0,71.8,10.0,10.0,Евро,Свободная продажа,нет,,2011.0,Монолитный,,21.0,есть,Железобетонный,,Закрытая с приготовлением горячей воды на ЦТП,,,Центральное,Центральное,,,,,,,,,Приточно-вытяжная,,,43.1294745,131.9119216
52,52,11900000,2.0,46.8,1.0,2.0,Дизайнерский,,,есть,1983.0,Кирпичный,v-кирпичный,9.0,есть,Железобетонный,Ленточный,,1.0,415.0,,,,,,,,,,,,,,43.1318221,131.9004527
53,53,5000000,,20.1,5.6,6.0,Отсутствует,,,есть,2017.0,Монолитный,II-01,24.0,есть,Железобетонный,Ленточный,Закрытая с приготовлением горячей воды на ЦТП,1.0,,,,,,,,,,,,,,,43.12880895,131.9511256092946
54,54,6500000,1.0,28.5,5.0,1.0,Отсутствует,,,,2023.0,Монолитно-кирпичный,,4.0,,,,,1.0,,,,,,,,,,,,,,,43.23055235,132.02866555
55,55,10500000,4.0,73.7,,5.0,Косметический,,,есть,1972.0,Кирпичный,,6.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,,,,,,,C,,,,,,43.12674165,131.89898438535536
56,56,8300000,2.0,47.4,10.0,10.0,Отсутствует,,нет,,2022.0,Монолитный,,25.0,,Железобетонный,,,,,,,,,,,,,,,,,,43.17579885,131.94006015
57,57,9900000,3.0,69.2,9.0,1.0,Косметический,,,есть,1984.0,Панельный,1-панельный,9.0,есть,Железобетонный,Иной,,1.0,1080.0,,,,,,,,,,1.0,,,,43.094198000000006,131.85877983664193
58,58,5490000,1.0,34.9,,8.0,Косметический,Свободная продажа,,есть,1977.0,Панельный,,9.0,есть,Железобетонный,Иной,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,,,,,,,,,1.0,,,,43.0928771,131.9514917618974
59,59,6800000,2.0,45.4,4.0,7.0,Евро,Свободная продажа,нет,есть,1974.0,Кирпичный,v-кирпичный,9.0,есть,Железобетонный,Иной,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,,,,,,,,,,,,,,43.1054986,131.9432466
60,60,13400000,3.0,88.8,15.0,18.0,Отсутствует,,,,2022.0,Монолитный,,22.0,,Железобетонный,,Центральное,1.0,,,,,,,,,,,,,,,43.1198395,131.9112378
